Month,WageIndex
2003-08,239.6
2003-09,239.9
2003-10,240.4
2003-11,240.7
2003-12,241.0
2004-01,244.9
2004-02,245.4
2004-03,246.8
2004-04,247.5
2004-05,249.5
2004-06,251.1
2004-07,251.4
2004-08,252.0
2004-09,252.5
2004-10,253.2
2004-11,253.8
2004-12,255.5
2005-01,261.1
2005-02,261.9
2005-03,262.9
2005-04,264.2
2005-05,265.9
2005-06,267.0
2005-07,268.0
2005-08,268.9
2005-09,269.8
2005-10,270.6
2005-11,272.3
2005-12,273.9
2006-01,282.8
2006-02,284.4
2006-03,285.4
2006-04,286.4
2006-05,289.1
2006-06,290.4
2006-07,295.4
2006-08,297.4
2006-09,298.9
2006-10,300.4
2006-11,301.0
2006-12,300.8
2007-01,311.5
2007-02,312.3
2007-03,313.2
2007-04,314.6
2007-05,316.9
2007-06,319.0
2007-07,319.8
2007-08,321.1
2007-09,323.1
2007-10,324.6
2007-11,325.9
2007-12,326.6
2008-01,330.9
2008-02,333.5
2008-03,337.6
2008-04,340.5
2008-05,342.0
2008-06,346.2
2008-07,348.8
2008-08,350.4
2008-09,352.2
2008-10,353.3
2008-11,351.3
2008-12,353.6
2009-01,355.7
2009-02,355.7
2009-03,356.1
2009-04,355.4
2009-05,356.0
2009-06,356.7
2009-07,358.0
2009-08,358.1
2009-09,359.0
2009-10,360.1
2009-11,365.4
2009-12,366.5
2010-01,366.9
2010-02,368.6
2010-03,369.0
2010-04,369.5
2010-05,370.1
2010-06,378.3
2010-07,379.5
2010-08,379.5
2010-09,380.7
2010-10,381.8
2010-11,382.4
2010-12,383.1
2011-01,383.2
2011-02,383.9
2011-03,385.2
2011-04,385.6
2011-05,389.9
2011-06,405.0
2011-07,409.1
2011-08,409.7
2011-09,412.8
2011-10,415.7
2011-11,416.9
2011-12,418.2
2012-01,418.2
2012-02,427.1
2012-03,431.7
2012-04,431.4
2012-05,432.9
2012-06,433.1
2012-07,433.5
2012-08,433.7
2012-09,436.3
2012-10,436.8
2012-11,437.7
2012-12,437.7
2013-01,439.2
2013-02,449.4
2013-03,455.3
2013-04,456.4
2013-05,456.5
2013-06,457.8
2013-07,457.5
2013-08,458.6
2013-09,462.0
2013-10,463.1
2013-11,464.2
2013-12,463.8
2014-01,468.5
2014-02,470.5
2014-03,475.3
2014-04,478.4
2014-05,480.4
2014-06,482.7
2014-07,484.7
2014-08,487.4
2014-09,490.6
2014-10,493.8
2014-11,494.7
2014-12,494.6
2015-01,498.1
2015-02,500.8
2015-03,502.1
2015-04,503.2
2015-05,505.7
2015-06,517.1
2015-07,523.0
2015-08,524.7
2015-09,531.0
2015-10,532.9
2015-11,537.6
2015-12,542.7
2016-01,545.0
2016-02,564.0
2016-03,568.8
2016-04,570.4
2016-05,573.1
2016-06,581.6
2016-07,581.9
2016-08,583.4
2016-09,586.7
2016-10,588.3
2016-11,589.9
2016-12,592.2
2017-01,592.4
2017-02,595.1
2017-03,597.3
2017-04,598.4
2017-05,617.8
2017-06,623.8
2017-07,623.9
2017-08,625.2
2017-09,630.0
2017-10,630.7
2017-11,631.6
2017-12,632.8
2018-01,635.6
2018-02,638.1
2018-03,640.0
2018-04,641.9
2018-05,656.5
2018-06,660.9
2018-07,663.4
2018-08,662.8
2018-09,667.0
2018-10,669.6
2018-11,670.6
2018-12,670.7
2019-01,672.6
2019-02,674.0
2019-03,675.3
2019-04,685.4
2019-05,690.0
2019-06,689.3
2019-07,691.3
2019-08,691.5
2019-09,695.2
2019-10,697.6
2019-11,698.7
2019-12,700.7
2020-01,705.6
2020-02,706.6
2020-03,708.7
2020-04,732.1
2020-05,734.5
2020-06,735.7
2020-07,734.6
2020-08,736.1
2020-09,742.0
2020-10,747.1
2020-11,749.7
2020-12,751.2
2021-01,778.6
2021-02,781.2
2021-03,783.9
2021-04,786.2
2021-05,789.3
2021-06,792.7
2021-07,791.6
2021-08,793.9
2021-09,799.5
2021-10,803.8
2021-11,805.9
2021-12,806.0
2022-01,835.4
2022-02,838.0
2022-03,839.7
2022-04,853.0
2022-05,856.8
2022-06,856.7
2022-07,855.8
2022-08,857.5
2022-09,864.5
2022-10,867.4
2022-11,870.5
2022-12,905.6
2023-01,907.0
2023-02,910.8
2023-03,919.3
2023-04,933.9
2023-05,939.1
2023-06,949.7
2023-07,947.2
2023-08,950.0
2023-09,958.5
2023-10,962.1
2023-11,964.5
2023-12,966.3
2024-01,970.8
2024-02,972.4
2024-03,995.6
2024-04,1000.2
2024-05,1002.0
2024-06,1006.7
2024-07,1009.2
2024-08,1010.0
2024-09,1017.1
2024-10,1020.0
2024-11,1023.2
2024-12,1027.8
2025-01,1059.4
2025-02,1059.9
2025-03,1063.9
2025-04,1082.6
2025-05,1084.6
2025-06,1088.8
2025-07,1086.3
2025-08,1087.7
2025-09,1096.4
2025-10,1098.1
2025-11,1100.0
2025-12,1100.1
